Year,Month,Carbon Dioxide (ppm),Mean
1958,1,312.41,0.39
1958,2,314.28,0.24
1958,3,315.69,0.1
1958,4,317.45,0.01
1958,5,317.5,0.08
1958,6,314,-0.05
1958,7,315.86,0.06
1958,8,314.93,-0.06
1958,9,313.21,0.37
1958,10,314.12,-0.03
1958,11,313.33,0.04
1958,12,314.67,0.02
1959,1,315.58,0.01
1959,2,316.48,0.06
1959,3,316.65,0.09
1959,4,317.72,0.19
1959,5,318.29,0.16
1959,6,318.15,0.06
1959,7,316.54,0.02
1959,8,314.8,0.06
1959,9,313.84,-0.01
1959,10,313.34,-0.06
1959,11,314.81,-0.09
1959,12,315.58,-0.09
1960,1,316.43,-0.03
1960,2,316.97,-0.01
1960,3,317.58,0.14
1960,4,319.03,-0.36
1960,5,320.03,-0.16
1960,6,319.59,-0.08
1960,7,318.18,0.01
1960,8,315.9,-0.02
1960,9,314.17,-0.01
1960,10,313.83,0.05
1960,11,315,0.07
1960,12,316.19,-0.11
1961,1,316.9,0.18
1961,2,317.7,0.07
1961,3,318.54,0.18
1961,4,319.48,0.09
1961,5,320.58,0.15
1961,6,319.77,0.13
1961,7,318.57,0.12
1961,8,316.79,-0.03
1961,9,314.99,0.02
1961,10,315.31,0.05
1961,11,316.1,0
1961,12,317.01,0.03
1962,1,317.94,-0.15
1962,2,318.55,0.08
1962,3,319.68,0.14
1962,4,320.57,0.12
1962,5,321.01,0.05
1962,6,320.62,-0.06
1962,7,319.61,0.06
1962,8,317.4,-0.02
1962,9,316.25,-0.02
1962,10,315.42,-0.01
1962,11,316.69,-0.03
1962,12,317.7,0.06
1963,1,318.74,-0.01
1963,2,319.07,-0.03
1963,3,319.86,0.19
1963,4,321.39,-0.13
1963,5,322.25,-0.05
1963,6,321.48,-0.09
1963,7,319.74,0.03
1963,8,317.77,0.08
1963,9,316.21,0.25
1963,10,315.99,0.2
1963,11,317.06,0.15
1963,12,318.35,0.15
1964,1,319.57,0
1964,2,321.89,-0.06
1964,3,317.06,-0.12
1964,4,319.56,-0.22
1964,5,322.26,-0.3
1964,6,321.89,-0.25
1964,7,320.44,-0.07
1964,8,318.69,-0.07
1964,9,316.71,-0.2
1964,10,316.87,-0.28
1964,11,317.68,-0.3
1964,12,318.71,-0.21
1965,1,319.44,-0.3
1965,2,320.44,-0.09
1965,3,320.89,-0.17
1965,4,322.14,-0.11
1965,5,322.16,-0.2
1965,6,321.87,-0.14
1965,7,321.21,-0.08
1965,8,318.87,-0.12
1965,9,317.82,-0.01
1965,10,317.3,-0.15
1965,11,318.87,-0.04
1965,12,319.42,-0.06
1966,1,320.62,-0.05
1966,2,321.59,-0.16
1966,3,322.39,0
1966,4,323.7,0.04
1966,5,324.08,-0.13
1966,6,323.75,-0.1
1966,7,322.39,0.02
1966,8,320.36,0.09
1966,9,318.64,-0.1
1966,10,318.1,-0.01
1966,11,319.79,-0.15
1966,12,321.03,-0.02
1967,1,322.32,-0.06
1967,2,322.5,-0.06
1967,3,323.04,-0.2
1967,4,324.42,0.03
1967,5,325,-0.05
1967,6,324.09,0.14
1967,7,322.55,-0.08
1967,8,320.92,0.01
1967,9,319.25,0.02
1967,10,319.39,-0.04
1967,11,320.72,0.06
1967,12,321.96,-0.06
1968,1,322.57,-0.02
1968,2,323.14,-0.23
1968,3,323.89,-0.15
1968,4,325.02,0.21
1968,5,325.57,-0.05
1968,6,325.36,-0.1
1968,7,324.14,-0.06
1968,8,322.11,-0.11
1968,9,320.33,-0.11
1968,10,320.25,-0.18
1968,11,321.32,0.12
1968,12,322.89,-0.04
1969,1,324,-0.14
1969,2,324.42,-0.11
1969,3,325.63,-0.14
1969,4,326.66,0
1969,5,327.38,0.19
1969,6,326.7,0.2
1969,7,325.88,0.05
1969,8,323.66,-0.01
1969,9,322.38,0.03
